,Object,Close Approach Date and Time,Close Approach Time Error,Close Approach Nominal Distance LD,Close Approach Minimum Distance LD,Minimum Distance Category,Diameter Min (m),Diameter Max (m),NEO Size Category,Relative Velocity (km/s),V Infinity (km/s),Relative Velocity Category,Absolute Magnitude (mag)
6167,(2020 SR6),2092,03:08,13.46,10.91,Mid-Distance,19.0,43.0,Small,4.87,4.86,Slow,25.7
6168,(2020 OE2),2092,03:07,12.77,12.35,Mid-Distance,10.0,23.0,Small,3.45,3.42,Slow,27.1
6169,(2008 PF2),2092,03:19,4.48,3.42,Mid-Distance,48.0,110.0,Large,8.84,8.81,Slow,23.7
6170,(2020 PO),2092,07:41,15.17,4.15,Mid-Distance,16.0,36.0,Small,14.85,14.85,Medium speed,26.1
6171,(2019 AV13),2092,14:33,16.13,13.67,Mid-Distance,100.0,230.0,Large,9.79,9.78,Slow,22.1
6172,(2017 BS31),2092,19:20,18.36,11.91,Mid-Distance,110.0,250.0,Large,18.52,18.52,Medium speed,21.9
6173,459872 (2014 EK24),2092,00:01,12.70,12.70,Mid-Distance,58.0,130.0,Large,3.04,3.01,Slow,23.3
6174,(2014 RE11),2092,06:08,18.91,16.58,Mid-Distance,77.0,170.0,Large,21.66,21.65,Fast,22.7
6175,(2021 RH),2092,12:35,10.97,5.99,Mid-Distance,19.0,41.0,Small,7.98,7.97,Slow,25.8
6176,(2004 SS),2092,00:01,16.03,16.03,Mid-Distance,110.0,250.0,Large,7.56,7.55,Slow,21.9
6177,(2012 QG42),2092,00:01,6.19,6.19,Mid-Distance,180.0,390.0,Large,11.21,11.2,Medium speed,20.9
6178,(2016 TU19),2092,11:50,18.05,16.85,Mid-Distance,35.0,78.0,Large,8.07,8.07,Slow,24.4
6179,(1997 GL3),2092,00:01,8.30,8.30,Mid-Distance,390.0,880.0,Large,25.29,25.29,Fast,19.1
6180,(2020 SQ3),2092,13:07,18.07,17.20,Mid-Distance,15.0,33.0,Small,9.65,9.64,Slow,26.3
6181,(2012 HK31),2092,10:52,14.03,7.30,Mid-Distance,22.0,49.0,Small,2.93,2.9,Slow,25.4
6182,(2012 GV17),2092,02:23,10.22,9.83,Mid-Distance,160.0,360.0,Large,12.79,12.78,Medium speed,21.1
6183,(2015 TQ21),2092,16:53,2.40,0.53,Close,8.8,20.0,Small,20.12,20.09,Fast,27.4
6184,(2019 WJ),2092,02:45,12.97,1.04,Far Away,97.0,220.0,Large,12.82,12.81,Medium speed,22.2
6185,(2012 EN5),2092,09:09,13.65,11.42,Mid-Distance,9.2,21.0,Small,10.48,10.48,Medium speed,27.3
6186,(2019 US),2092,23:46,14.71,5.62,Mid-Distance,13.0,28.0,Small,8.32,8.31,Slow,26.6
6187,(2014 UR),2092,00:01,13.72,13.72,Mid-Distance,13.0,28.0,Small,4.35,4.33,Slow,26.6
6188,(2019 UB6),2092,22:18,3.08,0.97,Close,5.6,12.0,Small,7.65,7.6,Slow,28.4
6189,(2004 TD10),2092,00:07,3.05,3.05,Mid-Distance,100.0,230.0,Large,10.11,10.07,Medium speed,22.1
6190,413260 (2003 TL4),2092,00:01,13.00,12.99,Mid-Distance,340.0,770.0,Large,11.05,11.05,Medium speed,19.4
6191,(2004 TP1),2092,00:01,14.36,14.36,Mid-Distance,190.0,430.0,Large,10.52,10.51,Medium speed,20.7
6192,(2016 VG),2092,02:41,5.51,1.84,Far Away,12.0,27.0,Small,10.26,10.24,Medium speed,26.7
6193,(2010 TU149),2092,00:28,19.40,19.25,Mid-Distance,603.0,195.0,Large,25.88,25.87,Fast,20.7
6194,478784 (2012 UV136),2092,00:01,4.64,4.64,Mid-Distance,20.0,45.0,Small,3.94,3.88,Slow,25.6
6195,(2018 VU8),2092,08:19,3.64,3.56,Mid-Distance,7.0,16.0,Small,5.44,5.39,Slow,27.9
6196,(2015 VE66),2092,22:10,14.06,4.22,Mid-Distance,40.0,90.0,Large,7.6,7.59,Slow,24.1
6197,(2021 TJ2),2092,01:33,12.20,10.79,Mid-Distance,50.0,110.0,Large,8.21,8.2,Slow,23.6
6198,413577 (2005 UL5),2092,00:01,12.17,12.17,Mid-Distance,240.0,540.0,Large,17.73,17.73,Medium speed,20.2
6199,(2012 XB),2092,01:47,18.79,18.71,Mid-Distance,17.0,38.0,Small,6.26,6.25,Slow,26.0
6200,(2014 WU202),2092,14:12,6.64,6.59,Mid-Distance,12.0,26.0,Small,7.07,7.05,Slow,26.8
6201,(2010 BV132),2092,00:22,13.13,13.04,Mid-Distance,140.0,310.0,Large,9.65,9.64,Slow,21.4
6202,(2001 XX4),2092,05:59,5.55,4.59,Mid-Distance,100.0,230.0,Large,18.1,18.09,Medium speed,22.1
6203,(2015 YE2),2092,06:35,11.39,11.37,Mid-Distance,24.0,54.0,Large,8.27,8.26,Slow,25.2
6204,(2019 YL6),2092,23:34,14.07,14.02,Mid-Distance,23.0,52.0,Large,4.55,4.54,Slow,25.3
6205,(2019 OD),2092,20:45,2.53,1.50,Far Away,56.0,120.0,Large,19.51,19.49,Medium speed,23.4
6206,(2014 NG65),2092,00:29,17.12,17.07,Mid-Distance,110.0,250.0,Large,9.64,9.64,Slow,21.9
6207,(2005 YO128),2093,10:07,11.85,9.62,Mid-Distance,32.0,71.0,Large,9.98,9.97,Slow,24.6
6208,(2014 BG25),2093,05:02,14.98,14.48,Mid-Distance,23.0,52.0,Large,8.51,8.5,Slow,25.3
6209,(2020 AZ1),2093,02:40,9.48,8.46,Mid-Distance,13.0,28.0,Small,3.99,3.97,Slow,26.6
6210,(2018 BH3),2093,00:34,2.27,1.55,Far Away,22.0,49.0,Small,9.31,9.26,Slow,25.4
6211,(2018 BM5),2093,00:01,3.21,3.21,Mid-Distance,9.2,21.0,Small,9.71,9.68,Slow,27.3
6212,(2021 BJ1),2093,17:00,12.66,12.04,Mid-Distance,35.0,78.0,Large,13.42,13.41,Medium speed,24.4
6213,(2018 RO5),2093,02:46,17.26,8.59,Mid-Distance,20.0,45.0,Small,6.23,6.22,Slow,25.6
6214,378160 (2006 WX1),2093,00:01,11.12,11.12,Mid-Distance,320.0,710.0,Large,11.04,11.03,Medium speed,19.6
6215,(2015 QR3),2093,00:18,13.23,13.18,Mid-Distance,19.0,43.0,Small,7.46,7.45,Slow,25.7
6216,(2011 CD66),2093,07:43,6.91,6.90,Mid-Distance,11.0,25.0,Small,8.59,8.58,Slow,26.9
6217,(2012 DM32),2093,08:57,6.38,4.85,Mid-Distance,15.0,34.0,Small,8.06,8.04,Slow,26.2
6218,(2018 DC4),2093,22:14,9.28,4.89,Mid-Distance,9.2,21.0,Small,3.39,3.36,Slow,27.3
6219,(2020 DK),2093,21:10,16.41,16.08,Mid-Distance,16.0,36.0,Small,9.56,9.55,Slow,26.1
6220,(2012 DR32),2093,00:01,2.96,2.96,Far Away,29.0,65.0,Large,16.78,16.76,Medium speed,24.8
6221,(2003 EM1),2093,08:29,14.43,6.55,Mid-Distance,33.0,75.0,Large,7.96,7.95,Slow,24.5
6222,(2010 XR69),2093,04:58,14.44,5.17,Mid-Distance,22.0,49.0,Small,16.24,16.24,Medium speed,25.4
6223,(2016 EF156),2093,12:56,7.03,7.02,Mid-Distance,31.0,68.0,Large,17.62,17.62,Medium speed,24.7
6224,(2015 DC200),2093,00:17,13.55,13.52,Mid-Distance,210.0,470.0,Large,31.79,31.79,Fast,20.5
6225,(2016 GW221),2093,00:01,8.34,8.34,Mid-Distance,31.0,68.0,Large,5.78,5.76,Slow,24.7
6226,(2014 UR),2093,00:01,10.17,10.17,Mid-Distance,13.0,28.0,Small,4.42,4.4,Slow,26.6
6227,(2018 VL),2093,18:29,14.36,6.07,Mid-Distance,8.4,19.0,Small,8.84,8.83,Slow,27.5
6228,(2013 WT45),2093,00:19,13.52,13.48,Mid-Distance,185.0,44.0,Small,10.71,10.71,Medium speed,20.3
6229,451157 (2009 SQ104),2093,00:01,16.42,16.42,Mid-Distance,180.0,390.0,Large,7.01,7.0,Slow,20.9
6230,(2014 SM143),2093,00:02,3.87,3.87,Mid-Distance,230.0,520.0,Large,17.48,17.46,Medium speed,20.3
6231,(2020 HX4),2093,00:11,18.97,14.88,Mid-Distance,15.0,33.0,Small,7.93,7.93,Slow,26.3
6232,(2021 KH2),2093,00:42,5.73,5.41,Mid-Distance,23.0,52.0,Large,6.37,6.34,Slow,25.3
6233,(2021 LK),2093,01:07,7.23,5.35,Mid-Distance,12.0,27.0,Small,7.74,7.72,Slow,26.8
6234,154275 (2002 SR41),2093,00:01,15.25,15.25,Mid-Distance,260.0,580.0,Large,16.3,16.3,Medium speed,20.1
6235,(2018 LK),2093,00:05,12.34,12.30,Mid-Distance,120.0,270.0,Large,11.22,11.21,Medium speed,21.8
6236,(2000 AH205),2093,00:01,16.28,16.28,Mid-Distance,80.0,180.0,Large,13.64,13.64,Medium speed,22.6
6237,(2018 MB7),2093,21:35,2.66,1.60,Far Away,46.0,100.0,Large,11.44,11.41,Medium speed,23.8
6238,(2017 OO1),2093,01:55,18.30,9.89,Mid-Distance,33.0,75.0,Large,10.08,10.08,Medium speed,24.5
6239,(2021 RS),2093,23:22,9.41,8.69,Mid-Distance,27.0,61.0,Large,4.17,4.14,Slow,24.9
6240,401954 (2002 RW25),2093,15:23,7.92,7.78,Mid-Distance,460000.0,1000.0,Large,6.25,6.22,Slow,18.8
6241,65679 (1989 UQ),2093,00:40,6.55,6.38,Mid-Distance,918.0,10.0,Small,7.07,7.04,Slow,19.5
6242,(2019 NY2),2093,01:43,17.66,14.98,Mid-Distance,150.0,340.0,Large,9.17,9.16,Slow,21.2
6243,(2016 NO16),2093,00:02,14.86,14.86,Mid-Distance,320.0,710.0,Large,16.81,16.81,Medium speed,19.6
6244,459872 (2014 EK24),2093,00:01,17.63,17.63,Mid-Distance,58.0,130.0,Large,2.91,2.89,Slow,23.3
6245,408792 (2000 GF2),2093,00:01,19.17,19.17,Mid-Distance,220.0,490.0,Large,10.36,10.35,Medium speed,20.4
6246,414286 (2008 OC6),2093,00:01,11.64,11.64,Mid-Distance,369.0,81.0,Large,12.24,12.23,Medium speed,18.6
6247,(2018 TR),2093,09:40,1.59,0.54,Close,21.0,47.0,Small,6.8,6.7,Slow,25.5
6248,(2006 TB7),2093,16:47,6.41,6.24,Mid-Distance,48.0,110.0,Large,11.95,11.94,Medium speed,23.7
6249,(2014 EQ49),2093,01:35,12.76,12.57,Mid-Distance,379.0,129.0,Large,9.71,9.7,Slow,21.8
6250,350751 (2002 AW),2093,00:03,4.13,4.12,Mid-Distance,190.0,420.0,Large,8.48,8.45,Slow,20.8
6251,(2019 RK),2093,03:22,17.04,16.92,Mid-Distance,23.0,52.0,Large,3.26,3.24,Slow,25.3
6252,(2021 TQ1),2093,03:41,11.17,3.16,Mid-Distance,6.2,14.0,Small,6.26,6.24,Slow,28.1
6253,(2014 FR37),2093,13:27,10.61,9.69,Mid-Distance,70.0,160.0,Large,7.2,7.19,Slow,22.9
6254,(2011 GA),2093,00:36,15.81,15.67,Mid-Distance,180.0,410.0,Large,18.15,18.15,Medium speed,20.8
6255,(2019 UH9),2093,00:15,6.68,6.64,Mid-Distance,25.0,55.0,Large,22.07,22.07,Fast,25.1
6256,(2021 JY5),2093,08:04,6.86,6.18,Mid-Distance,8.6,19.0,Small,3.36,3.32,Slow,27.4
6257,(2011 TC4),2093,00:01,12.38,12.38,Mid-Distance,220.0,490.0,Large,24.17,24.17,Fast,20.4
6258,(2010 VA12),2093,00:01,17.61,17.61,Mid-Distance,330.0,750.0,Large,33.65,33.65,Fast,19.5
6259,(2007 VK184),2093,12:36,13.35,10.48,Mid-Distance,110.0,240.0,Large,16.6,16.6,Medium speed,22.0
6260,(2016 VS),2093,12:04,15.27,1.02,Far Away,8.8,20.0,Small,8.68,8.68,Slow,27.4
6261,(2010 JG),2093,00:01,12.23,12.23,Mid-Distance,192.0,30.0,Small,15.68,15.68,Medium speed,20.9
6262,(2019 JN2),2093,14:28,13.67,8.39,Mid-Distance,19.0,43.0,Small,6.44,6.43,Slow,25.7
6263,153201 (2000 WO107),2093,00:01,3.23,3.23,Mid-Distance,510.0,83.0,Large,26.18,26.17,Fast,19.3
6264,(2015 YU7),2093,00:01,9.83,9.82,Mid-Distance,140.0,320.0,Large,11.23,11.22,Medium speed,21.4
6265,3200 Phaethon (1983 TB),2093,00:01,7.71,7.71,Mid-Distance,6250.0,150.0,Large,34.23,34.23,Fast,14.3
6266,(2014 HK129),2093,22:31,18.60,14.72,Mid-Distance,160.0,360.0,Large,12.5,12.5,Medium speed,21.1
6267,(2015 YK),2093,16:45,15.94,6.73,Mid-Distance,46.0,14.0,Small,4.33,4.32,Slow,25.9
6268,(2006 PA1),2093,00:10,14.01,14.01,Mid-Distance,310.0,680.0,Large,10.27,10.26,Medium speed,19.7
6269,(2021 XK6),2093,02:25,6.45,6.43,Mid-Distance,74.0,170.0,Large,12.32,12.31,Medium speed,22.8
6270,(2020 XY4),2093,19:47,3.26,1.85,Far Away,11.0,24.0,Small,9.56,9.52,Slow,27.0
6271,(2014 OA339),2093,00:02,5.99,5.99,Mid-Distance,37.0,82.0,Large,9.48,9.46,Slow,24.3
6272,(2022 BA6),2094,08:57,9.24,8.81,Mid-Distance,14.0,31.0,Small,2.63,2.59,Slow,26.4
6273,(2017 XT61),2094,09:14,5.24,3.91,Mid-Distance,61.0,140.0,Large,12.03,12.01,Medium speed,23.2
6274,(2020 AD3),2094,00:02,12.48,12.46,Mid-Distance,130.0,280.0,Large,19.71,19.7,Medium speed,21.6
6275,(2018 CQ3),2094,02:32,16.41,15.22,Mid-Distance,24.0,54.0,Large,2.52,2.5,Slow,25.2
6276,445830 (2012 CL19),2094,00:05,12.42,12.41,Mid-Distance,97.0,220.0,Large,10.77,10.76,Medium speed,22.2
6277,(2002 AL31),2094,16:27,11.12,8.27,Mid-Distance,33.0,75.0,Large,8.34,8.33,Slow,24.5
6278,(2020 XB7),2094,14:51,6.11,6.10,Mid-Distance,35.0,77.0,Large,8.33,8.31,Slow,24.4
6279,(2017 CP),2094,08:34,10.55,7.63,Mid-Distance,9.7,22.0,Small,5.58,5.56,Slow,27.2
6280,(2016 AU65),2094,00:01,8.31,8.31,Mid-Distance,77.0,170.0,Large,16.13,16.12,Medium speed,22.7
6281,(2018 PR7),2094,06:41,11.73,4.35,Mid-Distance,5.3,12.0,Small,3.56,3.54,Slow,28.5
6282,(2001 CP36),2094,00:49,10.57,10.48,Mid-Distance,48.0,110.0,Large,9.44,9.43,Slow,23.7
6283,(2019 DB1),2094,04:30,11.43,9.64,Mid-Distance,28.0,62.0,Large,23.05,23.05,Fast,24.9
6284,(2019 ET),2094,17:12,14.59,9.09,Mid-Distance,33.0,75.0,Large,15.22,15.22,Medium speed,24.5
6285,(2021 CN3),2094,08:17,9.44,7.38,Mid-Distance,15.0,34.0,Small,3.48,3.44,Slow,26.2
6286,(2017 FD157),2094,16:56,5.18,0.46,Close,92.0,210.0,Large,12.01,11.99,Medium speed,22.3
6287,523598 (2003 ED50),2094,00:01,13.16,13.16,Mid-Distance,180.0,410.0,Large,23.65,23.65,Fast,20.8
6288,(2015 CW13),2094,00:02,3.98,3.97,Mid-Distance,70.0,160.0,Large,6.8,6.77,Slow,22.9
6289,(2012 FQ35),2094,16:45,15.74,6.23,Mid-Distance,51.0,110.0,Large,10.38,10.37,Medium speed,23.6
6290,(2011 FS2),2094,15:27,17.04,13.44,Mid-Distance,15.0,34.0,Small,7.84,7.83,Slow,26.2
6291,(2009 SH2),2094,00:40,16.09,2.08,Far Away,28.0,62.0,Large,5.02,5.01,Slow,24.9
6292,(2012 UE34),2094,02:17,8.06,4.77,Mid-Distance,58.0,130.0,Large,5.59,5.57,Slow,23.3
6293,(2014 UR),2094,00:01,13.34,13.34,Mid-Distance,13.0,28.0,Small,4.53,4.51,Slow,26.6
6294,(2005 GU),2094,00:16,18.61,18.52,Mid-Distance,270.0,590.0,Large,24.0,23.99,Fast,20.0
6295,(2017 JS1),2094,13:36,18.78,9.83,Mid-Distance,21.0,47.0,Small,10.11,10.1,Medium speed,25.5
6296,467460 (2006 JF42),2094,00:01,10.22,10.22,Mid-Distance,380.0,860.0,Large,12.98,12.98,Medium speed,19.2
6297,(2020 JG),2094,23:27,10.24,0.72,Close,18.0,41.0,Small,13.79,13.78,Medium speed,25.8
6298,(2018 GO4),2094,00:06,16.50,16.49,Mid-Distance,33.0,75.0,Large,8.21,8.2,Slow,24.5
6299,(2014 HT46),2094,01:03,10.48,10.41,Mid-Distance,13.0,28.0,Small,5.48,5.46,Slow,26.6
6300,342866 (2008 YU32),2094,00:01,13.02,13.02,Mid-Distance,250.0,570.0,Large,19.3,19.29,Medium speed,20.1
6301,(2019 AQ2),2094,00:08,8.78,8.72,Mid-Distance,20.0,45.0,Small,5.35,5.32,Slow,25.6
6302,(2020 HR3),2094,02:30,5.83,5.01,Mid-Distance,41.0,92.0,Large,11.12,11.1,Medium speed,24.0
6303,(2018 JF2),2094,12:19,13.59,13.35,Mid-Distance,40.0,90.0,Large,8.39,8.38,Slow,24.1
6304,(2015 TD144),2094,07:37,7.16,5.97,Mid-Distance,80.0,180.0,Large,23.94,23.93,Fast,22.6
6305,(2021 US6),2094,08:32,7.37,7.22,Mid-Distance,6.2,14.0,Small,21.26,21.25,Fast,28.2
6306,152978 (2000 GJ147),2094,00:01,14.42,14.42,Mid-Distance,531.0,9.0,Small,15.16,15.15,Medium speed,19.5
6307,(2015 VO105),2094,00:11,13.52,13.46,Mid-Distance,40.0,90.0,Large,5.41,5.39,Slow,24.1
6308,(2013 YD48),2094,00:01,5.23,5.23,Mid-Distance,80.0,180.0,Large,14.6,14.59,Medium speed,22.6
6309,437844 (1999 MN),2094,00:01,17.17,17.16,Mid-Distance,160.0,350.0,Large,14.1,14.1,Medium speed,21.1
6310,494690 (2004 JQ1),2094,00:01,15.08,15.08,Mid-Distance,260.0,580.0,Large,21.22,21.22,Fast,20.1
6311,(2015 LR21),2094,18:16,19.17,10.46,Mid-Distance,13.0,28.0,Small,15.32,15.32,Medium speed,26.6
6312,(2003 AY2),2094,00:06,10.74,10.73,Mid-Distance,370.0,820.0,Large,14.62,14.61,Medium speed,19.3
6313,(2020 BV),2094,20:49,19.13,16.31,Mid-Distance,84.0,190.0,Large,16.66,16.66,Medium speed,22.5
6314,(2010 VB1),2094,10:16,5.16,5.10,Mid-Distance,61.0,140.0,Large,7.76,7.73,Slow,23.2
6315,(2009 WW104),2094,00:01,17.90,17.90,Mid-Distance,84.0,190.0,Large,13.24,13.24,Medium speed,22.5
6316,(2010 TE55),2094,21:06,13.38,7.86,Mid-Distance,6.7,15.0,Small,3.97,3.95,Slow,28.0
6317,(2015 KK57),2094,08:33,8.33,8.06,Mid-Distance,8.4,19.0,Small,1.31,1.21,Slow,27.5
6318,(2016 ND1),2094,00:14,7.16,7.09,Mid-Distance,23.0,52.0,Large,4.71,4.68,Slow,25.3
6319,(2021 OS),2094,05:41,8.68,4.14,Mid-Distance,100.0,230.0,Large,12.61,12.6,Medium speed,22.0
6320,(2019 MB4),2094,02:00,4.47,1.55,Far Away,17.0,38.0,Small,7.21,7.18,Slow,26.0
6321,(2012 XF133),2094,03:25,15.54,15.36,Mid-Distance,97.0,220.0,Large,10.84,10.84,Medium speed,22.2
6322,(2020 FT3),2094,22:12,2.41,0.37,Close,64.0,140.0,Large,8.93,8.88,Slow,23.1
6323,(2018 OG),2094,16:58,13.77,13.71,Mid-Distance,51.0,110.0,Large,10.83,10.82,Medium speed,23.6
6324,(1998 SD9),2094,00:01,12.28,12.28,Mid-Distance,40.0,90.0,Large,11.52,11.52,Medium speed,24.1
6325,(2017 RK15),2094,00:01,11.04,10.96,Mid-Distance,19.0,43.0,Small,12.81,12.8,Medium speed,25.7
6326,(2019 DO),2094,23:46,12.61,3.78,Mid-Distance,21.0,47.0,Small,12.9,12.89,Medium speed,25.5
6327,(2013 TD),2094,00:28,4.66,4.65,Mid-Distance,13.0,28.0,Small,8.07,8.05,Slow,26.6
6328,(2018 RH3),2094,16:54,3.34,2.17,Far Away,16.0,36.0,Small,8.55,8.52,Slow,26.1
6329,(2020 SF4),2094,04:51,11.17,7.14,Mid-Distance,15.0,34.0,Small,7.14,7.13,Slow,26.2
6330,152664 (1998 FW4),2094,00:01,11.04,11.04,Mid-Distance,310.0,700.0,Large,16.66,16.65,Medium speed,19.7
6331,(2018 RY1),2094,00:01,13.49,13.49,Mid-Distance,34.0,77.0,Large,9.07,9.07,Slow,24.4
6332,(2017 VZ13),2094,06:37,16.68,13.50,Mid-Distance,7.0,16.0,Small,4.34,4.33,Slow,27.9
6333,(2019 GE1),2094,14:03,17.39,6.80,Mid-Distance,11.0,24.0,Small,7.55,7.55,Slow,27.0
6334,(2021 CF8),2094,06:41,11.08,10.03,Mid-Distance,41.0,92.0,Large,13.0,12.99,Medium speed,24.1
6335,(2015 JJ),2094,04:19,3.48,1.74,Far Away,100.0,230.0,Large,10.83,10.81,Medium speed,22.1
6336,(2019 UE13),2094,06:47,13.45,8.17,Mid-Distance,19.0,43.0,Small,9.96,9.95,Slow,25.7
6337,(2017 VE2),2094,19:48,10.26,6.67,Mid-Distance,25.0,57.0,Large,13.84,13.83,Medium speed,25.1
6338,(2010 VK139),2094,00:01,8.68,8.67,Mid-Distance,55.0,10.0,Small,13.99,13.98,Medium speed,23.7
6339,(2021 FR1),2094,04:51,16.97,13.92,Mid-Distance,83.0,190.0,Large,12.19,12.19,Medium speed,22.5
6340,(2015 YV1),2094,01:51,10.70,0.29,Close,53.0,120.0,Large,16.8,16.8,Medium speed,23.5
6341,480808 (1994 XL1),2094,00:03,16.02,16.02,Mid-Distance,180.0,390.0,Large,15.63,15.62,Medium speed,20.9
6342,(2012 XO134),2094,00:03,18.37,18.35,Mid-Distance,42.0,94.0,Large,13.2,13.19,Medium speed,24.0
6343,(2021 LA),2094,22:03,15.15,5.81,Mid-Distance,45.0,100.0,Large,11.0,11.0,Medium speed,23.8
6344,(2017 TZ5),2094,00:40,13.84,13.38,Mid-Distance,12.0,26.0,Small,9.91,9.9,Slow,26.8
6345,(2012 YK),2094,00:05,17.88,17.88,Mid-Distance,67.0,150.0,Large,9.27,9.26,Slow,23.0
6346,(2020 AF2),2094,20:26,11.62,11.55,Mid-Distance,31.0,68.0,Large,5.7,5.69,Slow,24.7
6347,(2019 AY3),2095,09:14,13.98,8.40,Mid-Distance,46.0,100.0,Large,19.42,19.42,Medium speed,23.8
6348,(2022 AO2),2095,13:34,16.85,10.94,Mid-Distance,39.0,86.0,Large,16.81,16.8,Medium speed,24.2
6349,(2009 BG),2095,11:59,5.49,3.28,Mid-Distance,21.0,47.0,Small,8.08,8.06,Slow,25.5
6350,(2018 AZ11),2095,17:40,17.30,5.52,Mid-Distance,19.0,43.0,Small,9.86,9.85,Slow,25.7
6351,(2019 BS1),2095,03:57,5.64,5.58,Mid-Distance,15.0,33.0,Small,13.35,13.34,Medium speed,26.3
6352,359369 (2009 YG),2095,00:10,8.58,8.54,Mid-Distance,560000.0,1200.0,Large,20.47,20.46,Fast,18.4
6353,(2017 CR1),2095,05:57,16.62,10.36,Mid-Distance,7.3,16.0,Small,5.22,5.21,Slow,27.8
6354,(2011 SE97),2095,00:49,19.33,19.21,Mid-Distance,31.0,68.0,Large,17.19,17.19,Medium speed,24.7
6355,27002 (1998 DV9),2095,00:03,9.52,9.52,Mid-Distance,600000.0,1300.0,Large,7.59,7.58,Slow,18.2
6356,484506 (2008 ER7),2095,00:03,14.68,14.66,Mid-Distance,270.0,590.0,Large,18.01,18.01,Medium speed,20.0
6357,(2017 TA6),2095,14:29,8.48,6.35,Mid-Distance,10.0,23.0,Small,4.35,4.32,Slow,27.1
6358,(2022 CF7),2095,14:26,12.64,0.18,Close,6.5,15.0,Small,7.83,7.82,Slow,28.1
6359,(2022 DR2),2095,04:28,13.00,11.27,Mid-Distance,33.0,74.0,Large,13.1,13.1,Medium speed,24.5
6360,(2020 RE4),2095,18:23,14.11,0.26,Close,7.0,16.0,Small,18.91,18.91,Medium speed,27.9
6361,(2017 DS37),2095,00:07,9.34,8.26,Mid-Distance,9.2,21.0,Small,5.26,5.24,Slow,27.3
6362,474158 (1999 FA),2095,00:10,9.66,9.61,Mid-Distance,200.0,440.0,Large,7.4,7.39,Slow,20.6
6363,(2010 KC),2095,00:01,16.47,16.47,Mid-Distance,39.0,87.0,Large,16.19,16.19,Medium speed,24.2
6364,(2017 FR63),2095,00:05,7.24,7.23,Mid-Distance,16.0,36.0,Small,5.32,5.29,Slow,26.1
6365,(2010 RA91),2095,04:37,6.93,5.67,Mid-Distance,51.0,110.0,Large,10.7,10.68,Medium speed,23.6
6366,(2016 FZ13),2095,04:33,8.78,0.73,Close,5.8,13.0,Small,3.79,3.76,Slow,28.3
6367,(2016 FC13),2095,00:02,18.32,18.31,Mid-Distance,186.0,59.0,Large,21.82,21.82,Fast,22.1
6368,(2019 GW1),2095,02:13,17.12,16.25,Mid-Distance,16.0,36.0,Small,6.92,6.91,Slow,26.1
6369,(2018 GG),2095,06:31,12.38,0.21,Close,30.0,67.0,Large,15.17,15.17,Medium speed,24.7
6370,297300 (1998 SC15),2095,00:01,3.30,3.30,Mid-Distance,320.0,30.0,Small,14.06,14.04,Medium speed,19.3
6371,(2016 GA3),2095,19:14,12.71,12.63,Mid-Distance,29.0,65.0,Large,7.19,7.18,Slow,24.8
6372,(2009 FF),2095,00:09,14.90,14.88,Mid-Distance,120.0,260.0,Large,11.98,11.97,Medium speed,21.8
6373,(2018 HL1),2095,18:09,5.29,4.02,Mid-Distance,44.0,99.0,Large,14.21,14.2,Medium speed,23.9
6374,(2021 GD3),2095,10:55,9.85,9.83,Mid-Distance,11.0,24.0,Small,3.48,3.45,Slow,27.0
6375,(2020 KR2),2095,02:17,8.79,7.04,Mid-Distance,13.0,28.0,Small,4.89,4.87,Slow,26.6
6376,(2019 VR),2095,06:07,15.70,5.86,Mid-Distance,6.4,14.0,Small,8.47,8.46,Slow,28.1
6377,(2015 HO116),2095,17:04,2.95,2.00,Far Away,21.0,47.0,Small,18.18,18.16,Medium speed,25.5
6378,(2017 HK1),2095,06:19,15.52,14.71,Mid-Distance,25.0,57.0,Large,2.64,2.61,Slow,25.1
6379,(2019 JJ3),2095,06:16,5.85,0.30,Close,8.4,19.0,Small,9.49,9.47,Slow,27.5
6380,(2015 KA),2095,01:39,6.23,5.92,Mid-Distance,15.0,34.0,Small,5.75,5.72,Slow,26.2
6381,(2019 KW),2095,05:29,8.29,1.27,Far Away,11.0,25.0,Small,6.67,6.65,Slow,26.9
6382,(2021 WY),2095,15:14,16.74,11.66,Mid-Distance,49.0,110.0,Large,9.22,9.22,Slow,23.7
6383,(2008 AZ30),2095,00:03,17.41,17.41,Mid-Distance,110.0,250.0,Large,21.84,21.84,Fast,21.9
6384,(2020 KU),2095,22:59,0.40,0.05,Close,5.2,12.0,Small,7.32,6.95,Slow,28.5
6385,468005 (2012 XD112),2095,00:01,14.02,14.02,Mid-Distance,150.0,350.0,Large,9.37,9.36,Slow,21.2
6386,(2005 HB4),2095,00:45,14.54,14.48,Mid-Distance,35.0,78.0,Large,3.15,3.13,Slow,24.4
6387,(1998 VD32),2095,00:02,17.02,17.01,Mid-Distance,78.0,180.0,Large,8.22,8.21,Slow,22.6
6388,(2001 KU66),2095,12:55,12.31,9.91,Mid-Distance,40.0,90.0,Large,11.09,11.08,Medium speed,24.1
6389,(2020 LF),2095,06:03,6.69,4.56,Mid-Distance,21.0,47.0,Small,9.16,9.14,Slow,25.5
6390,(2021 LZ8),2095,00:00,10.27,1.70,Far Away,31.0,70.0,Large,8.73,8.72,Slow,24.6
